Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
East River Park Zone 3,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",,,,,,40.715899,-73.975189,POINT (-73.975189 40.715899)
Passerelle Building,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.751662,-73.843252,POINT (-73.843252 40.751662)
The High Line Zone 1,Park,NYC Parks,Operational,Year Round,,,,,,,40.743643,-74.006873,POINT (-74.006873 40.743643)
Corporal Thompson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.638516,-74.117934,POINT (-74.117934 40.638516)
"Bushwick Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/bushwick,40.704567,-73.93962,POINT (-73.93962 40.704567)
Rienzi Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.887635,-73.858784,POINT (-73.858784 40.887635)
55 East 52nd Street POPS,Privately Owned Public Space,Park Avenue Plaza Owner LLC,Operational,Year Round,Everyday 8:00 am-10:00 pm,Partially Accessible,Single-Stall All Gender Restroom(s),No,,,40.759132,-73.973672,POINT (-73.973672 40.759132)
"Ottendorfer Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/ottendorfer,40.728915,-73.987744,POINT (-73.987744 40.728915)
South Beach Zone 2,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.588862,-74.066755,POINT (-74.066755 40.588862)
Grand Central (Metro North) LIRR Restroom,Transit,LIRR-MNR,Operational,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,,,MTA station with bathrooms located outside of fare gates and open to the wider public,https://new.mta.info/agency/new-york-city-transit/bathrooms,40.751816,-73.976715,POINT (-73.976715 40.751816)
St. Catherine's Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.76531,-73.958579,POINT (-73.958579 40.76531)
Fort Greene Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.692339,-73.977224,POINT (-73.977224 40.692339)
Major Deegan So. Gas Station,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.894936,-73.88258,POINT (-73.88258 40.894936)
Haffen Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.873542,-73.839305,POINT (-73.839305 40.873542)
Equity Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.691385,-73.853623,POINT (-73.853623 40.691385)
Morningside Park Zone 1,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.802468,-73.959038,POINT (-73.959038 40.802468)
"Stapleton Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/stapleton,40.626265,-74.077865,POINT (-74.077865 40.626265)
"Brower Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/brower-park,40.675379,-73.948568,POINT (-73.948568 40.675379)
Carmansville Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.829156,-73.944308,POINT (-73.944308 40.829156)
South Beach Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592406,-74.063578,POINT (-74.063578 40.592406)
825 Eighth Avenue POPS,Privately Owned Public Space,"George Comfort and Sons, Inc.",Operational,Year Round,Everyday 6:00 am-9:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,,,40.762238,-73.986944,POINT (-73.986944 40.762238)
Brevoort Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.680681,-73.922699,POINT (-73.922699 40.680681)
"Arlington Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/arlington,40.680698,-73.887239,POINT (-73.887239 40.680698)
Rockaway Beach 04c,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.587522,-73.795711,POINT (-73.795711 40.587522)
"Forest Hills Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/forest-hills,40.722155,-73.843016,POINT (-73.843016 40.722155)
Margaret I. Carman Green - Weeping Beech,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.763499,-73.824741,POINT (-73.824741 40.763499)
Nicholas Naquan Heyward Jr. Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.684691,-73.987809,POINT (-73.987809 40.684691)
"Brooklyn Central Library, BPL",Library,BPL,Operational,Year Round,"Monday	9 am - 8 pm
Tuesday	9 am - 8 pm
Wednesday	9 am - 8 pm
Thursday	9 am - 8 pm
Friday	9 am - 6 pm
Saturday	9 am - 6 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/central,40.672352,-73.968226,POINT (-73.968226 40.672352)
Aqueduct Walk Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.858411,-73.907994,POINT (-73.907994 40.858411)
Paerdegat Basin Marina 3,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.62724,-73.904659,POINT (-73.904659 40.62724)
Maurice A. FitzGerald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.690257,-73.839503,POINT (-73.839503 40.690257)
Osborn Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.656092,-73.906153,POINT (-73.906153 40.656092)
Allerton Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.865665,-73.850539,POINT (-73.850539 40.865665)
General Hart Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.748786,-73.897234,POINT (-73.897234 40.748786)
East Parade Grounds,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.651895,-73.965719,POINT (-73.965719 40.651895)
Augustus St. Gaudens Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.735641,-73.982059,POINT (-73.982059 40.735641)
"Richmond Hill Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/richmond-hill,40.700806,-73.831644,POINT (-73.831644 40.700806)
Shore Road Park Zone 5,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.616198,-74.039478,POINT (-74.039478 40.616198)
Maple Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.755964,-73.826086,POINT (-73.826086 40.755964)
Ampere Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.681435,-73.85678,POINT (-73.85678 40.681435)
Abe Stark,Park,NYC Parks Concessionaire,Operational,Seasonal,Concession Operating Hours,,,,,,40.573053,-73.985895,POINT (-73.985895 40.573053)
"Melrose Library, NYPL",Library,NYPL,Closed for Construction,Future,,,,,,https://www.nypl.org/locations/melrose,40.826593,-73.917585,POINT (-73.917585 40.826593)
Grove Hill Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.819936,-73.908532,POINT (-73.908532 40.819936)
Monsignor Kett Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.862642,-73.920891,POINT (-73.920891 40.862642)
Hudson River Park Pier 84,Park,Hudson River Park,Operational,Year Round,9:30am - 10pm,Fully Accessible,,,,,40.763121,-74.000654,POINT (-74.000654 40.763121)
Galapo Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.5979,-73.946754,POINT (-73.946754 40.5979)
Pink Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.666498,-73.862512,POINT (-73.862512 40.666498)
"Center for Brooklyn History, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	10 am - 6 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 6 pm
Friday	10 am - 6 pm
Saturday	10 am - 4 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/center-for-brooklyn-history,40.694811,-73.992406,POINT (-73.992406 40.694811)
Bryant Park,Park,Bryant Park Corporation,Operational,Year Round,8am-10pm,,Multi-Stall W/M Restrooms,,,,40.754039,-73.982655,POINT (-73.982655 40.754039)
Marine Park Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.599348,-73.912962,POINT (-73.912962 40.599348)
Rosewood Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.872979,-73.871143,POINT (-73.871143 40.872979)
"City Island Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 6:00 pm
Wednesday: 11:00 am - 6:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/city-island,40.8477,-73.786368,POINT (-73.786368 40.8477)
MacNeil Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.793522,-73.851378,POINT (-73.851378 40.793522)
Vidalia Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.844079,-73.881429,POINT (-73.881429 40.844079)
Albert J. Parham Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.690233,-73.970509,POINT (-73.970509 40.690233)
Hester St Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.716728,-73.994082,POINT (-73.994082 40.716728)
"Mosholu Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/mosholu,40.874388,-73.878386,POINT (-73.878386 40.874388)
Astoria Park Zone 1,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.77593,-73.925181,POINT (-73.925181 40.77593)
St. Nicholas Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.813711,-73.950928,POINT (-73.950928 40.813711)
Virginia Principe Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.727226,-73.904336,POINT (-73.904336 40.727226)
Walker Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.643726,-74.108829,POINT (-74.108829 40.643726)
Oracle Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.693786,-73.971605,POINT (-73.971605 40.693786)
McGuire Fields,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.618582,-73.898792,POINT (-73.898792 40.618582)
Louis Armstrong Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.754938,-73.855156,POINT (-73.855156 40.754938)
Lopez Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.61127,-74.085,POINT (-74.085 40.61127)
"Grand Concourse Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/grand-concourse,40.84401,-73.910089,POINT (-73.910089 40.84401)
Claremont Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.841506,-73.906836,POINT (-73.906836 40.841506)
East River Park Zone 5,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.721796,-73.974048,POINT (-73.974048 40.721796)
Hunts Point Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.814277,-73.88589,POINT (-73.88589 40.814277)
Orchard Beach Pavilion,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.86627,-73.794699,POINT (-73.794699 40.86627)
Bellerose Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.732855,-73.717682,POINT (-73.717682 40.732855)
Greenpoint Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.735646,-73.959285,POINT (-73.959285 40.735646)
Queensbridge Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.755099,-73.949561,POINT (-73.949561 40.755099)
Hutchinson River Prkwy Snack,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.836286,-73.83897,POINT (-73.83897 40.836286)
Brooklyn Bridge Park Pier 6 - Quay Tower,Park,Brooklyn Bridge Park,Operational,Year Round,6am-1am,Fully Accessible,,,,,40.692827,-74.000721,POINT (-74.000721 40.692827)
Laurelton Parkway West Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.685005,-73.726978,POINT (-73.726978 40.685005)
"Andrew Heiskell Braille and Talking Book Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,Changing Table in Children's room,https://www.nypl.org/locations/heiskell,40.740474,-73.993358,POINT (-73.993358 40.740474)
Challenge Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.756911,-73.728131,POINT (-73.728131 40.756911)
La Tourette Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.577587,-74.149616,POINT (-74.149616 40.577587)
Green Central Knoll,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.70212,-73.933504,POINT (-73.933504 40.70212)
"McKinley Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/dyker,40.629196,-74.011839,POINT (-74.011839 40.629196)
"Flushing Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.queenslibrary.org/about-us/locations/flushing,40.757782,-73.828886,POINT (-73.828886 40.757782)
Anne Loftus Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.86512,-73.929484,POINT (-73.929484 40.86512)
Travers Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.754374,-73.889478,POINT (-73.889478 40.754374)
McCarren Park Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.722025,-73.951842,POINT (-73.951842 40.722025)
"East Flushing Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/east-flushing,40.757554,-73.784304,POINT (-73.784304 40.757554)
Allen Street Malls,Park,NYC Parks,Not Operational,,,,,,,,40.719552,-73.990206,POINT (-73.990206 40.719552)
"George Bruce Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 7:00 pm 
Tuesday: 12:00 pm - 7:00 pm 
Wednesday: 12:00 pm - 7:00 pm 
Thursday: 12:00 pm - 7:00 pm 
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 6:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/george-bruce,40.813777,-73.957055,POINT (-73.957055 40.813777)
Seth Low Playground/ Bealin Square,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.608262,-73.986506,POINT (-73.986506 40.608262)
Howard Bennett Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.813698,-73.938957,POINT (-73.938957 40.813698)
"Cypress Hills Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/cypress-hills,40.672716,-73.874036,POINT (-73.874036 40.672716)
Red Hook Park Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67277,-74.007817,POINT (-74.007817 40.67277)
"Aguilar Library, NYPL",Library,NYPL,Closed for Construction,Future,,,,,,https://www.nypl.org/locations/aguilar,40.794223,-73.94346,POINT (-73.94346 40.794223)
Woodlawn Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.899927,-73.87225,POINT (-73.87225 40.899927)
Lemon Creek Park Marina,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.515281,-74.20115,POINT (-74.20115 40.515281)
Lieutenant John H. Martinson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.537194,-74.162407,POINT (-74.162407 40.537194)
"Yorkville Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/yorkville,40.773664,-73.956374,POINT (-73.956374 40.773664)
Audubon Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.841674,-73.937926,POINT (-73.937926 40.841674)
Macombs Dam Park Zone 1 Upper,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.828376,-73.929751,POINT (-73.929751 40.828376)
"South Hollis Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/south-hollis,40.707012,-73.753799,POINT (-73.753799 40.707012)
"Clason's Point Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/clasons-point,40.830001,-73.875022,POINT (-73.875022 40.830001)
Yolanda García Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.822886,-73.913911,POINT (-73.913911 40.822886)
Century Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.577018,-73.970246,POINT (-73.970246 40.577018)
Park,Park,NYC Parks,Operational,Year Round,,,,,,,40.730899,-73.925415,POINT (-73.925415 40.730899)
Bethesda Terrace,Park,Central Park Conservancy,Operational,Seasonal,7am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.773519,-73.971149,POINT (-73.971149 40.773519)
Telephone Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.738603,-73.756571,POINT (-73.756571 40.738603)
Alley Athletic Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.739995,-73.734204,POINT (-73.734204 40.739995)
St Mary's Playground West,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.81286,-73.913424,POINT (-73.913424 40.81286)
Macombs Dam Park Zone 2 Lower,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.827497,-73.928379,POINT (-73.928379 40.827497)
Railroad Park,Park,NYC Parks,Not Operational,,,,,,,,40.824933,-73.915592,POINT (-73.915592 40.824933)
Jesse Owens Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.691638,-73.932459,POINT (-73.932459 40.691638)
Fred Samuel Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.817353,-73.939034,POINT (-73.939034 40.817353)
Evelina Antonetty Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.817275,-73.928439,POINT (-73.928439 40.817275)
